@RELATION SiftFast50

@ATTRIBUTE	word0	NUMERIC
@ATTRIBUTE	word1	NUMERIC
@ATTRIBUTE	word2	NUMERIC
@ATTRIBUTE	word3	NUMERIC
@ATTRIBUTE	word4	NUMERIC
@ATTRIBUTE	word5	NUMERIC
@ATTRIBUTE	word6	NUMERIC
@ATTRIBUTE	word7	NUMERIC
@ATTRIBUTE	word8	NUMERIC
@ATTRIBUTE	word9	NUMERIC
@ATTRIBUTE	word10	NUMERIC
@ATTRIBUTE	word11	NUMERIC
@ATTRIBUTE	word12	NUMERIC
@ATTRIBUTE	word13	NUMERIC
@ATTRIBUTE	word14	NUMERIC
@ATTRIBUTE	word15	NUMERIC
@ATTRIBUTE	word16	NUMERIC
@ATTRIBUTE	word17	NUMERIC
@ATTRIBUTE	word18	NUMERIC
@ATTRIBUTE	word19	NUMERIC
@ATTRIBUTE	word20	NUMERIC
@ATTRIBUTE	word21	NUMERIC
@ATTRIBUTE	word22	NUMERIC
@ATTRIBUTE	word23	NUMERIC
@ATTRIBUTE	word24	NUMERIC
@ATTRIBUTE	word25	NUMERIC
@ATTRIBUTE	word26	NUMERIC
@ATTRIBUTE	word27	NUMERIC
@ATTRIBUTE	word28	NUMERIC
@ATTRIBUTE	word29	NUMERIC
@ATTRIBUTE	word30	NUMERIC
@ATTRIBUTE	word31	NUMERIC
@ATTRIBUTE	word32	NUMERIC
@ATTRIBUTE	word33	NUMERIC
@ATTRIBUTE	word34	NUMERIC
@ATTRIBUTE	word35	NUMERIC
@ATTRIBUTE	word36	NUMERIC
@ATTRIBUTE	word37	NUMERIC
@ATTRIBUTE	word38	NUMERIC
@ATTRIBUTE	word39	NUMERIC
@ATTRIBUTE	word40	NUMERIC
@ATTRIBUTE	word41	NUMERIC
@ATTRIBUTE	word42	NUMERIC
@ATTRIBUTE	word43	NUMERIC
@ATTRIBUTE	word44	NUMERIC
@ATTRIBUTE	word45	NUMERIC
@ATTRIBUTE	word46	NUMERIC
@ATTRIBUTE	word47	NUMERIC
@ATTRIBUTE	word48	NUMERIC
@ATTRIBUTE	word49	NUMERIC
@ATTRIBUTE	class	{strawberry,lobster,brain,platypus,Faces,nautilus,pigeon,grand_piano,chair,pizza}

@DATA
0.0607143,0.0821429,0.0464286,0.0821429,0,0,0.0178571,0.0285714,0.0178571,0.0714286,0,0.00357143,0,0.00714286,0.00357143,0.0285714,0.00714286,0.025,0.0285714,0,0.00714286,0.0178571,0,0.0607143,0.0178571,0.0107143,0,0.0142857,0.0214286,0,0,0.025,0.0107143,0.0107143,0.0357143,0.0428571,0.0285714,0.0214286,0,0.05,0.0607143,0.00357143,0.00714286,0,0,0,0.0107143,0.0214286,0.00357143,0.00714286,strawberry
0.0128023,0.0256046,0,0,0,0.0469417,0,0.0199147,0.00426743,0.184922,0,0.0398293,0,0.0526316,0,0,0.00995733,0,0.0768137,0.00711238,0,0.0355619,0.0256046,0,0,0.0156472,0.00426743,0.0369844,0.0113798,0,0.00426743,0,0.00284495,0.0142248,0.00142248,0,0.0056899,0.00142248,0.00142248,0.0256046,0.194879,0.0241821,0.00853485,0.0156472,0.056899,0,0.00142248,0.00426743,0.00142248,0.0256046,strawberry
0.0150107,0.0614725,0.00571837,0.0221587,0.0214439,0.0285919,0,0.0378842,0,0.000714796,0.00571837,0.00571837,0.000714796,0.0343102,0.00285919,0.00786276,0.000714796,0.0257327,0.00142959,0.00142959,0.000714796,0.0114367,0.107934,0.0164403,0.0107219,0.00929235,0.200858,0.0192995,0.000714796,0.0171551,0.0192995,0.0214439,0.0629021,0.0750536,0,0.0142959,0.0157255,0.0142959,0.00786276,0,0.0114367,0.0293066,0.00214439,0.0157255,0.0128663,0.0171551,0.00142959,0,0.00428878,0.000714796,strawberry
0.0589307,0,0.00789793,0,0,0.0328068,0.0103281,0.00303767,0.0285541,0.0656136,0.0261239,0.009113,0.0771567,0,0.0315917,0.0164034,0,0.0036452,0.027339,0.00850547,0,0.0431349,0,0.0236938,0.122722,0.00243013,0,0.0151883,0.0164034,0,0.00607533,0.0121507,0,0.0072904,0.0370595,0.0018226,0.0151883,0,0.0710814,0.0145808,0.00789793,0.0255164,0.0558931,0.0479951,0.00303767,0,0.0145808,0.0151883,0.0303767,0.0036452,strawberry
0,0.0141844,0.0070922,0.0141844,0.0236407,0.193853,0,0.0189125,0,0.035461,0.0543735,0.00236407,0,0.0260047,0.0236407,0.0189125,0.0472813,0,0,0,0,0.00945626,0,0.0260047,0,0,0.00236407,0.00472813,0.0118203,0,0.0307329,0.0141844,0.132388,0.0401891,0,0,0.0803782,0.0330969,0.0283688,0.00236407,0.00236407,0.0520095,0.00236407,0.0189125,0,0.0260047,0.00236407,0,0,0,strawberry
0.0454545,0.0272727,0,0,0.0151515,0,0.0030303,0.0121212,0.00909091,0.0181818,0.0030303,0.0666667,0,0,0.030303,0,0.0212121,0,0,0.00909091,0,0.0121212,0.0969697,0,0,0.0333333,0.00909091,0.0636364,0,0.0030303,0.0666667,0.00909091,0.0787879,0.0151515,0.00606061,0,0.00909091,0.0363636,0,0,0.0545455,0.0575758,0.0424242,0.00909091,0.00909091,0.0787879,0.0212121,0.0212121,0.0030303,0.0030303,strawberry
0.0126394,0.153903,0,0,0,0.0148699,0.00297398,0.0282528,0.00148699,0.0973978,0.00148699,0.0438662,0,0.0252788,0,0.0275093,0.0304833,0,0.0126394,0.00892193,0,0.000743494,0.000743494,0.000743494,0.00223048,0.069145,0.0453532,0.0148699,0.00892193,0,0.0148699,0.00223048,0.0193309,0.0111524,0.00966543,0,0.0550186,0.0304833,0.00446097,0.0349442,0.0148699,0.0587361,0.00371747,0.0118959,0.0609665,0.00297398,0.0304833,0.00371747,0.0178439,0.00817844,strawberry
0.0332542,0.00475059,0.0261283,0,0.00712589,0.0023753,0,0.0308789,0,0,0.023753,0,0,0.023753,0.0546318,0.00475059,0.0285036,0.0166271,0.0023753,0.0023753,0,0.0118765,0.0190024,0.04038,0,0.00950119,0.0285036,0.0190024,0.00475059,0.0593824,0.114014,0.00950119,0.0285036,0.0546318,0,0,0.0451306,0.0285036,0.0451306,0.0023753,0.0261283,0.0427553,0.0142518,0.00950119,0.0023753,0.0855107,0.00712589,0.0190024,0,0.0118765,strawberry
0.0195695,0.0518591,0.0215264,0.00978474,0.00293542,0.00195695,0.0636008,0.0283757,0.0234834,0.15362,0.0146771,0.0420744,0.0166341,0,0,0.0136986,0,0.00293542,0.00587084,0,0,0.00293542,0,0.0205479,0.00978474,0.000978474,0.000978474,0.055773,0.00587084,0.00489237,0,0.00195695,0,0,0.100783,0.00293542,0.000978474,0.000978474,0.0225049,0.0146771,0.0577299,0,0.0146771,0,0.00684932,0.00293542,0.0890411,0.0567515,0.0528376,0,strawberry
0.0113977,0.00179964,0.00059988,0,0.0137972,0.0275945,0.00059988,0.0233953,0.00359928,0.00959808,0.0341932,0.0377924,0.00179964,0,0.0683863,0.0665867,0.0587882,0.0167966,0,0.00059988,0.034793,0.0311938,0.0713857,0,0.0143971,0.00119976,0.0227954,0.040192,0.0059988,0.00059988,0.0293941,0.0377924,0.0323935,0.0293941,0.0125975,0,0.0575885,0.00719856,0,0.00239952,0.0161968,0.0665867,0.0239952,0.0269946,0.00239952,0.00959808,0.0233953,0.0089982,0.00659868,0.00659868,strawberry
0.0288,0.0032,0.0032,0,0,0.0528,0.0016,0.0512,0.008,0,0.0016,0.0048,0.0304,0.0048,0.0928,0.0112,0.0656,0.0032,0.016,0.0784,0.0032,0.0096,0.0112,0,0.048,0.0192,0.0096,0.0144,0.0256,0,0.056,0.016,0.0512,0.0288,0.0048,0.0016,0.0144,0.024,0.0304,0.0144,0.0096,0.0128,0.008,0.0496,0.0224,0,0.0096,0.0096,0,0.0384,strawberry
0.0552764,0.0246231,0,0.0040201,0,0.0226131,0.0291457,0.058794,0.00904523,0.119598,0.0040201,0.0246231,0.0165829,0.00251256,0.00251256,0.0040201,0.0150754,0.0120603,0.019598,0,0.0120603,0.00100503,0.00954774,0.00100503,0.00552764,0.0562814,0.00100503,0.060804,0.0150754,0,0,0.0175879,0.0517588,0.0040201,0.0201005,0,0.00703518,0.021608,0.0341709,0.0567839,0.0386935,0.0291457,0.0422111,0,0.020603,0.00150754,0.0135678,0.00201005,0.0175879,0.0351759,strawberry
0.0238908,0.0819113,0.0136519,0.00170648,0.0153584,0.0358362,0.00682594,0.131399,0.00682594,0.0699659,0.0358362,0.052901,0.00682594,0,0.00170648,0.00682594,0.00170648,0.00511945,0.00341297,0,0.00682594,0.0324232,0.00341297,0.00511945,0,0.0204778,0,0.00511945,0.0170648,0,0.0153584,0,0.136519,0.00170648,0.00511945,0.00170648,0.0273038,0,0.0102389,0.0136519,0.105802,0.0460751,0.0307167,0.00341297,0,0.00170648,0,0,0,0.00853242,strawberry
0.0398275,0.0109082,0.0144597,0.000253678,0.00304414,0.00202943,0.0626585,0.0202943,0.0461695,0.204718,0.0169964,0.00963978,0.0111618,0,0.000507357,0.00126839,0.000507357,0.00558092,0.0035515,0.00862506,0.0093861,0.0286657,0.00786403,0.0139523,0.0230847,0.0461695,0.0230847,0.028412,0.0119229,0.028412,0,0.00279046,0,0,0.0385591,0.0164891,0.00202943,0.00481989,0.00634196,0.00963978,0.042618,0.00380517,0.0476915,0.00202943,0.0309488,0.0271436,0.0154744,0.0169964,0.042618,0.00684932,strawberry
